# TBLASTN 2.6.0+
# Query: EOG093707RF
# Database: /home/531734/mike/karyon_longread/15_primary_SLR/busco_stats/tmp/assemblies_3732856093
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
EOG093707RF	21	44.681	94	43	1	132	216	1187538	1187257	2.91e-18	90.9
EOG093707RF	21	55.556	63	11	1	441	486	1185415	1185227	7.22e-12	70.5
EOG093707RF	21	54.902	51	21	1	491	539	1184813	1184661	1.85e-11	69.3
EOG093707RF	21	34.839	155	54	6	293	400	1186298	1185834	1.05e-09	63.5
EOG093707RF	28	46.154	52	28	0	156	207	4741082	4741237	5.89e-08	57.8
EOG093707RF	28	35.897	78	36	1	452	515	4744755	4744988	5.63e-06	51.6
EOG093707RF	27	44.231	52	29	0	156	207	4258994	4258839	9.49e-08	57.4
EOG093707RF	27	35.897	78	36	1	452	515	4255166	4254933	1.23e-05	50.4
EOG093707RF	27	41.270	63	18	1	73	116	4259721	4259533	5.24e-04	45.1
EOG093707RF	25	28.261	184	85	5	390	526	17599997	17600548	7.80e-07	53.5
EOG093707RF	25	60.000	15	4	1	527	539	17600596	17600640	7.80e-07	20.0
# TBLASTN 2.6.0+
# Query: EOG093707VN
# Database: /home/531734/mike/karyon_longread/15_primary_SLR/busco_stats/tmp/assemblies_3732856093
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
EOG093707VN	22	41.887	265	65	6	283	458	1906465	1905671	2.65e-53	191
EOG093707VN	22	59.259	27	11	0	258	284	1906581	1906501	2.65e-53	39.7
EOG093707VN	22	64.706	68	24	0	449	516	1905657	1905454	4.87e-21	99.4
# TBLASTN 2.6.0+
# Query: EOG093707VQ
# Database: /home/531734/mike/karyon_longread/15_primary_SLR/busco_stats/tmp/assemblies_3732856093
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 24 hits found
EOG093707VQ	19	29.775	178	96	4	85	233	5516980	5516447	1.80e-19	67.4
EOG093707VQ	19	41.176	119	66	3	234	351	5516354	5516007	1.80e-19	49.7
EOG093707VQ	36	36.406	217	79	7	1	158	12893289	12892639	2.44e-17	88.6
EOG093707VQ	36	47.458	59	31	0	234	292	12892114	12891938	1.15e-13	50.1
EOG093707VQ	36	51.515	66	25	1	177	235	12892397	12892200	1.15e-13	47.0
EOG093707VQ	36	29.379	177	99	4	85	235	1403986	1403456	6.27e-09	61.2
EOG093707VQ	36	40.789	76	44	1	234	308	12029	11802	7.95e-05	47.8
