# TBLASTN 2.5.0+
# Query: EOG093707RF
# Database: /home/531734/mike/karyon_longread/VW4_HiFiasm.asm.11.hic.hap1.p_ctg/busco_stats/tmp/assemblies_VW4_HiFiasm-asm-11-hic-hap2-p_ctg_3828817815
# Fields: query acc., subject acc., % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 16 hits found
EOG093707RF	h2tg000106l	44.681	94	43	1	132	216	463514	463233	3.56e-18	90.9
EOG093707RF	h2tg000106l	44.681	94	43	1	132	216	462157	462438	3.56e-18	90.9
EOG093707RF	h2tg000005l	44.681	94	43	1	132	216	1187610	1187329	3.57e-18	90.9
EOG093707RF	h2tg000005l	55.556	63	11	1	441	486	1185487	1185299	8.85e-12	70.5
EOG093707RF	h2tg000005l	54.902	51	21	1	491	539	1184885	1184733	2.27e-11	69.3
EOG093707RF	h2tg000005l	34.839	155	54	6	293	400	1186370	1185906	1.29e-09	63.5
EOG093707RF	h2tg000029l	37.209	86	42	2	390	463	108112	107855	1.15e-11	46.6
EOG093707RF	h2tg000029l	30.588	85	39	3	462	526	107819	107565	1.15e-11	43.1
EOG093707RF	h2tg000029l	60.000	15	4	1	527	539	107518	107474	1.15e-11	20.0
EOG093707RF	h2tg000059l	46.154	52	28	0	156	207	2511150	2511305	7.22e-08	57.8
EOG093707RF	h2tg000059l	35.897	78	36	1	452	515	2514823	2515056	6.90e-06	51.6
EOG093707RF	h2tg000039l	44.231	52	29	0	156	207	1483318	1483163	1.16e-07	57.4
EOG093707RF	h2tg000039l	35.897	78	36	1	452	515	1479490	1479257	1.51e-05	50.4
EOG093707RF	h2tg000039l	41.270	63	18	1	73	116	1484045	1483857	6.42e-04	45.1
EOG093707RF	h2tg000032l	28.261	184	85	5	390	526	1179248	1179799	1.07e-06	53.5
EOG093707RF	h2tg000032l	60.000	15	4	1	527	539	1179847	1179891	1.07e-06	20.0
# TBLASTN 2.5.0+
# Query: EOG093707VN
# Database: /home/531734/mike/karyon_longread/VW4_HiFiasm.asm.11.hic.hap1.p_ctg/busco_stats/tmp/assemblies_VW4_HiFiasm-asm-11-hic-hap2-p_ctg_3828817815
# Fields: query acc., subject acc., % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 8 hits found
